period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,24034403837.0,,,,yfinance
2024-12-31,40131738490.0,12523793595.0,27607944895.0,18577991842.0,24298002988.0,7499895658.0,,yfinance
2025-03-31,41073156954.0,10182964053.0,30890192901.0,19488605639.0,25336325267.0,5150173101.0,,yfinance
2025-06-30,42219047998.0,10083996342.0,32135051656.0,,26401948379.0,6467099271.0,,yfinance
2025-09-30,44017819297.0,20125946843.0,23891872454.0,20216966730.0,28460000704.0,16675850451.0,,yfinance
2025-12-31,32605178370.0,9363338069.0,23241840301.0,17073138937.0,23888244441.0,8602915510.0,,yfinance
