period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-12-31,260467106000.0,237480399000.0,22986707000.0,111944291000.0,,,,yfinance
2025-03-31,283997817000.0,259002501000.0,24995316000.0,112625222000.0,,,,yfinance
2025-06-30,298101918000.0,269963754000.0,28138164000.0,105442967000.0,,,,yfinance
2025-09-30,325772885000.0,294430909000.0,31341976000.0,101667173000.0,,,,yfinance
2025-12-31,346711205000.0,312076349000.0,34634856000.0,76542327000.0,,,,yfinance
