period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,10398445924.0,6500105300.0,3898340624.0,3850349529.0,8717626343.0,6352411298.0,,yfinance
2024-12-31,7747725648.0,3280508601.0,4467217047.0,2059906504.0,5972391605.0,3122099549.0,,yfinance
2025-03-31,8983891996.0,4053629350.0,4930262646.0,2431117512.0,7100149689.0,3893984748.0,,yfinance
2025-06-30,10327865642.0,4905691936.0,5422173706.0,3668754039.0,8383519311.0,4759004277.0,,yfinance
2025-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-12-31,8136418030.0,3311643082.0,4824774948.0,1954773409.0,6250063720.0,3189555493.0,,yfinance
