period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,5848616103.0,3545090083.0,2303526020.0,1696416416.0,3332737707.0,2880766122.0,,yfinance
2025-03-31,5498346930.0,2604441362.0,2893905568.0,1182846375.0,2997396808.0,1959817681.0,,yfinance
2025-06-30,6261105976.0,2567073995.0,3694031981.0,1925385334.0,3720962327.0,1895262916.0,,yfinance
2025-09-30,7823953767.0,3153004970.0,4670948797.0,3070242108.0,5154491688.0,2205310928.0,,yfinance
2025-12-31,8783721849.0,4140989609.0,4642732240.0,3471130388.0,5762232926.0,2894130076.0,,yfinance
