period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,33747246000.0,21274006000.0,12473240000.0,3457280000.0,15895592000.0,8712264000.0,,yfinance
2025-03-31,49437211255.0,26353266255.0,23083945000.0,14433870670.0,29857708090.0,9974314211.0,,yfinance
2025-06-30,54850122000.0,31592239000.0,23257883000.0,14353126000.0,32275999000.0,12733739000.0,,yfinance
2025-09-30,59878010000.0,36339831000.0,23538179000.0,14330796000.0,33020771000.0,14173259000.0,,yfinance
2025-12-31,53023757000.0,29524416000.0,23499341000.0,8099432000.0,28358790000.0,13569711000.0,,yfinance
