period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,232783080000.0,169839784000.0,62943296000.0,11595450000.0,54279899000.0,127154367000.0,,yfinance
2024-12-31,228452486000.0,161453104000.0,66999382000.0,2698056000.0,42484446000.0,70240086000.0,,yfinance
2025-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-06-30,212436545000.0,145302051000.0,67134494000.0,2648766000.0,37894610000.0,55930723000.0,,yfinance
2025-09-30,208049584000.0,142455920000.0,65593664000.0,4069202000.0,42211289000.0,51867793000.0,,yfinance
2025-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
