period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,115636886000.0,96010982000.0,19625904000.0,39516935000.0,,,,yfinance
2024-12-31,126897949000.0,105451832000.0,21446117000.0,46124429000.0,,,,yfinance
2025-03-31,127215241000.0,108735154000.0,18480087000.0,42334984000.0,,,,yfinance
2025-06-30,135099583000.0,115006441000.0,20093142000.0,49096130000.0,,,,yfinance
2025-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-12-31,145892405000.0,122262000000.0,23630405000.0,48935118000.0,,,,yfinance
