period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,1119958017000.0,981551721000.0,138406296000.0,399804499000.0,,,,yfinance
2024-12-31,1214973261000.0,1062153940000.0,152819321000.0,407360854000.0,,,,yfinance
2025-03-31,1262885452000.0,1104667910000.0,158217542000.0,383116442000.0,,,,yfinance
2025-06-30,1321095816000.0,1143790237000.0,177305579000.0,333019452000.0,,,,yfinance
2025-09-30,,,,,,,,yfinance
2025-12-31,1442494120000.0,1210979902000.0,231514218000.0,224113001000.0,,,,yfinance
