period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,4819389525.0,3657115215.0,1162274310.0,211330353.0,3848703694.0,3289216406.0,,yfinance
2024-12-31,5193709267.0,3935484579.0,1258224688.0,240620863.0,4066680000.0,3510345526.0,,yfinance
2025-03-31,5725327153.0,4376555080.0,1348772073.0,162413180.0,4550803109.0,3965444871.0,,yfinance
2025-06-30,6410185400.0,4959178160.0,1451007240.0,185524513.0,5181010650.0,4504060641.0,,yfinance
2025-09-30,6703364783.0,5166637256.0,1536727527.0,133331995.0,5410405171.0,4558900369.0,,yfinance
2025-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
