period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,34582884000.0,25648929000.0,8933955000.0,3284196000.0,29015588000.0,25173893000.0,,yfinance
2024-12-31,32547247000.0,20054848000.0,12492399000.0,2412312000.0,27101157000.0,19715454000.0,,yfinance
2025-03-31,42990618000.0,28984039000.0,14006579000.0,830647000.0,37506902000.0,28644645000.0,,yfinance
2025-06-30,43595915000.0,26891519000.0,16704396000.0,181078000.0,37175461000.0,26526431000.0,,yfinance
2025-09-30,42109535000.0,23250508000.0,18859027000.0,450137000.0,36141041000.0,22885420000.0,,yfinance
2025-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
