period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-12-31,9058028544.0,2221302978.0,6836725566.0,1205753600.0,5735476851.0,1564106918.0,,yfinance
2025-03-31,9700285718.0,3015133850.0,6685151868.0,943644549.0,6321562925.0,2393537947.0,,yfinance
2025-06-30,9526219095.0,2185695075.0,7340524020.0,812102398.0,6072959897.0,1545622463.0,,yfinance
2025-09-30,10451124534.0,2534839665.0,7916284869.0,1507599004.0,6811158200.0,1858786030.0,,yfinance
2025-12-31,11903520928.0,3120656152.0,8782864776.0,1382001641.0,6928654297.0,2051319965.0,,yfinance
