period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,26389090577.0,6590612288.0,19798478289.0,5298013157.0,22416245144.0,6331844518.0,,yfinance
2024-12-31,26622762177.0,7080049338.0,19542712839.0,4945691389.0,22339574331.0,6937685321.0,,yfinance
2025-03-31,28173967152.0,6091362696.0,22082604456.0,6894689561.0,23764734486.0,5941597637.0,,yfinance
2025-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-09-30,32610372965.0,11793421405.0,20816951560.0,7378829703.0,27617628767.0,11632088956.0,,yfinance
2025-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
