period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,197952788000.0,152014797000.0,45937991000.0,8279240000.0,42948929000.0,89485416000.0,,yfinance
2025-03-31,204933350000.0,158840928000.0,46092422000.0,12835886000.0,48742902000.0,92332653000.0,,yfinance
2025-06-30,203982174000.0,152238481000.0,51743693000.0,9327908000.0,45169701000.0,83373725000.0,,yfinance
2025-09-30,206725620000.0,148604302000.0,58121318000.0,7383068000.0,41836389000.0,82321218000.0,,yfinance
2025-12-31,225882527000.0,162194701000.0,63687826000.0,8312470000.0,46764010000.0,92146701000.0,,yfinance
