period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,13256776370.0,8093780118.0,5162996252.0,4267441022.0,9875765978.0,7486990041.0,,yfinance
2025-03-31,20304064269.0,14785849190.0,5518215079.0,8786104738.0,16301222047.0,14042204852.0,,yfinance
2025-06-30,15705692604.0,9467677891.0,6238014713.0,4179747488.0,11267056189.0,8782906357.0,,yfinance
2025-09-30,18403900649.0,11264072049.0,7139828600.0,4975804664.0,13768154985.0,10313558089.0,,yfinance
2025-12-31,21342162558.0,13270571613.0,8071590945.0,5940887233.0,16453981631.0,12209250291.0,,yfinance
