period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,72725003000.0,45308084000.0,27416919000.0,7420866000.0,42612870000.0,36435041000.0,,yfinance
2025-03-31,76520469000.0,49024739000.0,27495730000.0,8341953000.0,45162463000.0,39811190000.0,,yfinance
2025-06-30,83595804000.0,55331036000.0,28264768000.0,7824361000.0,49725405000.0,43820512000.0,,yfinance
2025-09-30,86089809000.0,57108609000.0,28981200000.0,7529592000.0,48938248000.0,42398756000.0,,yfinance
2025-12-31,91358685000.0,60768530000.0,30590155000.0,9523553000.0,54327968000.0,46313042000.0,,yfinance
