period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,13361479500.0,4849749704.0,8511729796.0,2478866028.0,13267508524.0,1942753530.0,,yfinance
2024-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-03-31,14366271841.0,4522728919.0,9843542922.0,4271310838.0,14266963794.0,1944509331.0,,yfinance
2025-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
