period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,188710380000.0,151526176000.0,37184204000.0,46082835000.0,111753922000.0,129326886000.0,,yfinance
2024-12-31,186878411000.0,147510446000.0,39367965000.0,42847357000.0,106775720000.0,126770022000.0,,yfinance
2025-03-31,207150167000.0,167105217000.0,40044950000.0,41132450000.0,122152981000.0,145424108000.0,,yfinance
2025-06-30,207790236000.0,166444267000.0,41345969000.0,42578558000.0,115408684000.0,139806194000.0,,yfinance
2025-09-30,243657125000.0,201827983000.0,41829142000.0,58121005000.0,144630636000.0,171290156000.0,,yfinance
2025-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
