period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,28641557747.0,26610339201.0,2031218546.0,835857571.0,25474147877.0,25427088725.0,,yfinance
2025-03-31,32691247531.0,30513949744.0,2177297787.0,1456231463.0,29429971387.0,29342277689.0,,yfinance
2025-06-30,33062483961.0,30679409666.0,2383074295.0,1396035703.0,30287833946.0,29911736321.0,,yfinance
2025-09-30,35668979653.0,33176148824.0,2492830829.0,1280417502.0,32444731891.0,32179295562.0,,yfinance
2025-12-31,36213703819.0,33429683520.0,2784020299.0,920191502.0,32527116666.0,31732370276.0,,yfinance
