period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,13590462624.0,7251138154.0,6339324470.0,1811244599.0,7537057211.0,6199408901.0,,yfinance
2025-03-31,15900232204.0,8930240891.0,6969991313.0,2109627617.0,9212535812.0,7681620867.0,,yfinance
2025-06-30,18061325509.0,10610183061.0,7451142448.0,1956653160.0,10670416184.0,9154372710.0,,yfinance
2025-09-30,18044835464.0,10651418193.0,7393417271.0,1426342414.0,10017392043.0,8562076927.0,,yfinance
2025-12-31,18410221901.0,10377677682.0,8032544219.0,1091755742.0,9545838657.0,8169490543.0,,yfinance
