period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,53398815735.0,11522567302.0,41876248433.0,4108796684.0,9459682757.0,3572591464.0,,yfinance
2024-12-31,58002649740.0,12624286542.0,45378363198.0,6679913892.0,16518119103.0,4160591794.0,,yfinance
2025-03-31,61753792685.0,13562426227.0,48191366458.0,5464409614.0,15797845381.0,5200741342.0,,yfinance
2025-06-30,60811059505.0,18438010072.0,42373049433.0,5304602370.0,15722742873.0,10185581840.0,,yfinance
2025-09-30,57196630945.0,12856154724.0,44340476221.0,1185119691.0,8162484924.0,5354427815.0,,yfinance
2025-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
