period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,3971300000.0,3323800000.0,647500000.0,1041300000.0,3272600000.0,3258500000.0,,yfinance
2025-03-31,4198100000.0,3516300000.0,681800000.0,1022000000.0,3476700000.0,3442900000.0,,yfinance
2025-06-30,4755900000.0,4001500000.0,754400000.0,1049900000.0,3973100000.0,3926400000.0,,yfinance
2025-09-30,4857900000.0,4075700000.0,782200000.0,1270900000.0,4043100000.0,3990300000.0,,yfinance
2025-12-31,5215800000.0,4315100000.0,900700000.0,1369700000.0,4356200000.0,4203300000.0,,yfinance
