period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,50700395736.0,37564903731.0,13135492005.0,7351559512.0,32550547160.0,21104257180.0,,yfinance
2025-03-31,54045543194.0,38929347556.0,15116195638.0,7404809699.0,34864875377.0,22809161915.0,,yfinance
2025-06-30,55335607415.0,39689898888.0,15645708527.0,7891597500.0,36253125395.0,21830864269.0,,yfinance
2025-09-30,58460145824.0,42193525117.0,16266620707.0,7890017668.0,38392431100.0,23563262523.0,,yfinance
2025-12-31,59021210309.0,41378858653.0,17642351656.0,9435546381.0,37733718158.0,24358537198.0,,yfinance
