period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,34904566586.0,13863235995.0,21041330591.0,4122213329.0,23982227824.0,13268943941.0,,yfinance
2025-03-31,35011111252.0,13907648550.0,21103462702.0,3822154728.0,24207128848.0,13298891338.0,,yfinance
2025-06-30,33756763208.0,13544806799.0,20211956409.0,4098151271.0,23242920670.0,12910204124.0,,yfinance
2025-09-30,33744912163.0,13370305593.0,20374606570.0,5391205702.0,23503756121.0,12783238204.0,,yfinance
2025-12-31,33078566826.0,12246364586.0,20832202240.0,4654425179.0,22962282147.0,11693057903.0,,yfinance
