period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,104101963083.0,90379498737.0,13722464346.0,4345460020.0,58088348510.0,62728469915.0,,yfinance
2024-12-31,123437324201.0,108812642076.0,14624682125.0,6372384745.0,69270914793.0,74496941230.0,,yfinance
2025-03-31,142142661179.0,125884087243.0,16258573936.0,6737643001.0,81945587815.0,83688140891.0,,yfinance
2025-06-30,156383272267.0,139721908233.0,16661364034.0,7217714405.0,91268922036.0,94701595672.0,,yfinance
2025-09-30,163145655336.0,144969816100.0,18175839236.0,9204446377.0,99982418779.0,98786343864.0,,yfinance
2025-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
