period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,39112323637.0,34360357573.0,4751966064.0,3936282593.0,33927432700.0,30689755861.0,,yfinance
2025-03-31,42632404430.0,37536931422.0,5095473008.0,2568979526.0,37238781714.0,32594956843.0,,yfinance
2025-06-30,45045934723.0,39386189410.0,5659745313.0,2069306692.0,39297142394.0,34453724589.0,,yfinance
2025-09-30,50163794693.0,43665692968.0,6498101725.0,3341819981.0,44292011201.0,38938551233.0,,yfinance
2025-12-31,50687540810.0,42283212637.0,8404328173.0,4095255131.0,44428185936.0,37711902819.0,,yfinance
