period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,4311315751.0,2239671381.0,2071644370.0,64688059.0,3137015135.0,2155199064.0,,yfinance
2025-03-31,4497347165.0,2339770170.0,2157576995.0,49233304.0,2856366178.0,2264385302.0,,yfinance
2025-06-30,4922629487.0,2853433968.0,2069195519.0,128590549.0,3280361240.0,2781838408.0,,yfinance
2025-09-30,5241951678.0,3077229155.0,2164722523.0,74955625.0,3420224612.0,2925122457.0,,yfinance
2025-12-31,5337527567.0,3127627247.0,2209900320.0,36178688.0,3434581427.0,2983594896.0,,yfinance
