period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,14114273958.0,7002050320.0,7112223638.0,3264653000.0,9314510661.0,5439831072.0,,yfinance
2025-03-31,14330602841.0,7650099277.0,6680503564.0,3918306000.0,9421392467.0,6171592547.0,,yfinance
2025-06-30,14259276480.0,7167752666.0,7091523814.0,3529172000.0,9211270520.0,5751814299.0,,yfinance
2025-09-30,14477517895.0,6840430543.0,7637087352.0,2594847000.0,9339961439.0,5431896272.0,,yfinance
2025-12-31,14354312849.0,7362886177.0,6991426672.0,2696931000.0,9269858688.0,6640410961.0,,yfinance
