period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,249527138687.0,190000453431.0,59526685256.0,38180002322.0,209103253748.0,176312810197.0,,yfinance
2025-03-31,263066136947.0,199187238121.0,63878898826.0,42249239273.0,221703494532.0,185232814109.0,,yfinance
2025-06-30,285316978461.0,220609003609.0,64707974852.0,42320128518.0,241145434323.0,205367862225.0,,yfinance
2025-09-30,292261370860.0,223951300828.0,68310070032.0,43540566712.0,247550791499.0,208761276649.0,,yfinance
2025-12-31,311099090775.0,239109245844.0,71989844931.0,41949208624.0,261575886488.0,221389680302.0,,yfinance
