period_end_date,total_assets,total_liabilities,total_equity,cash_and_equivalents,current_assets,current_liabilities,customer_deposits,data_source
2022-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,yfinance
2024-12-31,355173008042.0,225293194349.0,129879813693.0,44909587972.0,233712409018.0,170942094874.0,,yfinance
2025-03-31,374604360156.0,240258913715.0,134345446441.0,39995437090.0,242291728677.0,180859654877.0,,yfinance
2025-06-30,388790846087.0,255016687346.0,133774158741.0,43095208151.0,255449048156.0,190943681772.0,,yfinance
2025-09-30,418533667124.0,269980237195.0,148553429929.0,43865683267.0,284958242952.0,206844968363.0,,yfinance
2025-12-31,436222206712.0,278514065947.0,157708140765.0,44846514337.0,299192715801.0,219307954693.0,,yfinance
