period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.86,650833569.0,4066133.0,yfinance
2024-12-31,6627928973.0,3161198854.0,3177896414.0,,,2.15,,,yfinance
2025-03-31,6644381764.0,3333257603.0,3320521604.0,2652223362.0,668298242.0,2.26,323251262.0,31219986.0,yfinance
2025-06-30,6022146926.0,1573984905.0,2758692132.0,2093390809.0,,,,-59854910.0,yfinance
2025-09-30,3911429164.0,1308093873.0,1781298969.0,,,0.86,649163817.0,41196772.0,yfinance
2025-12-31,9220214299.0,4367006620.0,5018117507.0,,,,666028003.0,-9503031.0,yfinance
