period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,3.074196,-21000.0,,yfinance
2024-12-31,4861175000.0,2207006000.0,,,1132699000.0,,,,yfinance
2025-03-31,5433250000.0,3032890000.0,,,990224000.0,1.87674,,,yfinance
2025-06-30,5781744000.0,3192534000.0,,,1174305000.0,2.865186,0.0,,yfinance
2025-09-30,5947144000.0,3207379000.0,,,916811000.0,2.011726,,,yfinance
2025-12-31,6062128000.0,3155769000.0,,,1467892000.0,,0.0,,yfinance
