period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,8887104642.0,461931833.0,746444540.0,509577626.0,236866914.0,0.36,132150985.0,25565504.0,yfinance
2024-12-31,9358974259.0,147793607.0,504197905.0,55347915.0,448849990.0,,96420423.0,-23005250.0,yfinance
2025-03-31,10068471935.0,446956772.0,508799072.0,452331586.0,56467486.0,,86343707.0,1275625.0,yfinance
2025-06-30,9308058946.0,431837886.0,736076846.0,497499502.0,238577344.0,,102462415.0,1129338.0,yfinance
2025-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
