period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.83,,,yfinance
2024-12-31,2342873189.0,495419750.0,721071217.0,603875154.0,117196063.0,,25257105.0,29965062.0,yfinance
2025-03-31,2554448091.0,590347133.0,894278290.0,814594544.0,79683746.0,1.51,18298670.0,24095330.0,yfinance
2025-06-30,2945463526.0,815122394.0,1200816337.0,1104069806.0,96746531.0,2.14,36443755.0,6864252.0,yfinance
2025-09-30,3301806075.0,1120196440.0,1476719403.0,1364604091.0,112115312.0,2.96,77481738.0,17380555.0,yfinance
2025-12-31,3645602389.0,1073919970.0,1486451635.0,1365894629.0,120557006.0,,94050618.0,1501596.0,yfinance
