period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.06,,835774000.0,yfinance
2024-12-31,2506797726.0,571557642.0,879538551.0,524972979.0,354565572.0,,27458091.0,,yfinance
2025-03-31,2702019371.0,702653990.0,894611671.0,513986601.0,380625070.0,0.13,139514266.0,,yfinance
2025-06-30,3476234000.0,601553000.0,2759167000.0,2360377000.0,398790000.0,0.043,,1413318000.0,yfinance
2025-09-30,3212837000.0,185974000.0,2666963000.0,2091811000.0,575152000.0,0.02,,1629007000.0,yfinance
2025-12-31,3291894000.0,-143130000.0,-3484422000.0,-4476917000.0,992495000.0,,112067000.0,,yfinance
