period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,37551505000.0,114546000.0,2495246000.0,1456873000.0,1038373000.0,0.063,233166000.0,2696398000.0,yfinance
2024-12-31,35574648000.0,414068000.0,1368253000.0,1639368000.0,-271115000.0,0.231154,249237000.0,2151142000.0,yfinance
2025-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-06-30,25059376000.0,-1241668000.0,36992000.0,-1250180000.0,1287172000.0,-0.682,210787000.0,2462883000.0,yfinance
2025-09-30,38300582000.0,81414000.0,4424061000.0,2967347000.0,1456714000.0,0.044,186815000.0,2417290000.0,yfinance
2025-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
