period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,3291483000.0,1873510000.0,,,733723000.0,1.498808,4748401000.0,1930848000.0,yfinance
2024-12-31,3512798000.0,1944078000.0,,,901027000.0,,4733407000.0,1858353000.0,yfinance
2025-03-31,3409462000.0,1868334000.0,,,867542000.0,1.494667,4948843000.0,2119279000.0,yfinance
2025-06-30,3209430000.0,1686058000.0,,,880178000.0,1.348846,4614151000.0,1973494000.0,yfinance
2025-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-12-31,3372194000.0,1815446000.0,,,923296000.0,,4597629000.0,1823865000.0,yfinance
