period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,27020508000.0,14800973000.0,,,4954054000.0,3.936364,49306959000.0,25161304000.0,yfinance
2024-12-31,14510384000.0,12848451000.0,,,-5035812000.0,,51735851000.0,26354535000.0,yfinance
2025-03-31,28323362000.0,16631775000.0,,,5820893000.0,4.968456,52535156000.0,27139272000.0,yfinance
2025-06-30,29270200000.0,16713915000.0,,,6135438000.0,4.980191,52625791000.0,26686255000.0,yfinance
2025-09-30,,,,,,8.045455,,,yfinance
2025-12-31,32450330000.0,20139157000.0,,,5306546000.0,,53199968000.0,24153874000.0,yfinance
