period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,1668118595.0,321493257.0,547453532.0,394084302.0,153369230.0,0.119962,290953.0,92527017.0,yfinance
2024-12-31,-619826282.0,-356681845.0,-454760112.0,-424088071.0,-30672041.0,,-5585005.0,-72178576.0,yfinance
2025-03-31,1429093929.0,90547062.0,336952686.0,201269295.0,135683391.0,0.033333,34003.0,109996806.0,yfinance
2025-06-30,1754913251.0,101525254.0,440287020.0,226260108.0,214026912.0,0.04,67679.0,132009586.0,yfinance
2025-09-30,1948990175.0,109586217.0,421928597.0,183721868.0,238206729.0,0.040891,294904.0,155169107.0,yfinance
2025-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
