period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,8125393000.0,1824805000.0,2400365000.0,1258965000.0,1141400000.0,0.53,1057362000.0,13204000.0,yfinance
2024-12-31,10329882000.0,3557532000.0,3300758000.0,2164695000.0,1136063000.0,,99312000.0,36164000.0,yfinance
2025-03-31,8896984000.0,1626782000.0,,2237518000.0,,0.46,,,yfinance
2025-06-30,10029582000.0,2701536000.0,,3565288000.0,,,89559000.0,634005000.0,yfinance
2025-09-30,10632879000.0,2152037000.0,3956037000.0,3403979000.0,552058000.0,0.63,19638000.0,556366000.0,yfinance
2025-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
