period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.15,,,yfinance
2024-12-31,1766236160.0,382476843.0,978758559.0,465343662.0,513414897.0,,69572421.0,7572458.0,yfinance
2025-03-31,1619144839.0,602259291.0,898506869.0,717441427.0,181065442.0,0.146667,49521311.0,11946401.0,yfinance
2025-06-30,1610686325.0,495884522.0,918919459.0,599393942.0,319525517.0,0.15,40611535.0,8920901.0,yfinance
2025-09-30,1736219415.0,731589918.0,964887847.0,829388825.0,135499022.0,0.16,40341566.0,6670234.0,yfinance
2025-12-31,1807034164.0,575668737.0,1036511612.0,371380582.0,665131030.0,,48095009.0,6932670.0,yfinance
