period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,11334384628.0,4232074429.0,5155435274.0,5086028956.0,69406318.0,10.272025,75948230.0,7480035.0,yfinance
2024-12-31,10172661344.0,3122469752.0,3773952189.0,3669265735.0,104686454.0,,93862029.0,4484074.0,yfinance
2025-03-31,10555773412.0,2539891617.0,3184679837.0,3119109427.0,65570410.0,,63931295.0,2289919.0,yfinance
2025-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-09-30,11326397162.0,2415725216.0,3398262119.0,3301713657.0,96548462.0,5.856304,77192788.0,1552830.0,yfinance
2025-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
