period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,1.25,,,yfinance
2024-12-31,23606290000.0,1461043000.0,8312037000.0,5246850000.0,3065187000.0,,233581000.0,1039295000.0,yfinance
2025-03-31,24797977000.0,4645741000.0,10509187000.0,6911651000.0,3597536000.0,2.72,229274000.0,4251849000.0,yfinance
2025-06-30,25799080000.0,5861703000.0,10597991000.0,6774324000.0,3823667000.0,3.43,373588000.0,3023411000.0,yfinance
2025-09-30,27634338000.0,6461017000.0,11943538000.0,7993180000.0,3950358000.0,3.78,1041231000.0,3443773000.0,yfinance
2025-12-31,28610181000.0,5586171000.0,11925755000.0,7598717000.0,4327038000.0,,-857887000.0,2107676000.0,yfinance
