period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.140253,,,yfinance
2024-12-31,1665373195.0,500107877.0,1080034286.0,507084018.0,572950268.0,,216478215.0,-2539828.0,yfinance
2025-03-31,1794765327.0,605378111.0,1214289720.0,644678514.0,569611206.0,0.18,271230085.0,21066533.0,yfinance
2025-06-30,1970717164.0,651586084.0,1352753440.0,758589103.0,594164337.0,0.191276,233334189.0,25724180.0,yfinance
2025-09-30,2293956512.0,778617861.0,1601319040.0,938386520.0,662932520.0,0.228567,251491227.0,29047732.0,yfinance
2025-12-31,2592039399.0,853607103.0,1791479973.0,1060954544.0,730525429.0,,287035227.0,2751027.0,yfinance
