period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.687,,,yfinance
2024-12-31,18565827000.0,1133922000.0,3298515000.0,1582562000.0,1715953000.0,,152666000.0,879064000.0,yfinance
2025-03-31,16760453000.0,626522000.0,2752663000.0,1296151000.0,1456512000.0,0.577,119640000.0,836128000.0,yfinance
2025-06-30,19089539000.0,1046099000.0,2902107000.0,1421751000.0,1480356000.0,0.964,,853756000.0,yfinance
2025-09-30,21677897000.0,750497000.0,3120287000.0,1466591000.0,1653696000.0,0.691,,1115875000.0,yfinance
2025-12-31,22701920000.0,456928000.0,3656071000.0,1619416000.0,2036655000.0,,212507000.0,1216223000.0,yfinance
