period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,159447679.0,347289005.0,105220992.0,-2269659.0,107490651.0,0.086667,134847642.0,56993326.0,yfinance
2024-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-03-31,530825474.0,478056306.0,424323635.0,,,0.12,,40397572.0,yfinance
2025-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
