period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,8803658000.0,692794000.0,2123284000.0,929623000.0,1193661000.0,0.48,,,yfinance
2024-12-31,9997247000.0,944620000.0,17530733000.0,15659149000.0,1871584000.0,,,,yfinance
2025-03-31,3641743000.0,1204652000.0,-3666045000.0,-5123692000.0,1457647000.0,0.83,6582317000.0,,yfinance
2025-06-30,10890372000.0,802054000.0,3424621000.0,1825330000.0,1599291000.0,0.55,,,yfinance
2025-09-30,11876927000.0,846336000.0,4247948000.0,2504039000.0,1743909000.0,0.59,,,yfinance
2025-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
