period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.15,,,yfinance
2024-12-31,17440823514.0,208048962.0,1390386177.0,761917538.0,628468639.0,,-69817870.0,483788473.0,yfinance
2025-03-31,17044961201.0,181880820.0,1427622418.0,782054995.0,645567423.0,0.15,6264442.0,611216963.0,yfinance
2025-06-30,18000297847.0,206926539.0,1621125494.0,851636682.0,769488812.0,0.17,3548185.0,691872778.0,yfinance
2025-09-30,20348859114.0,271036528.0,1691981347.0,932037820.0,759943527.0,0.22,5651797.0,646789300.0,yfinance
2025-12-31,21202939382.0,292139464.0,1708647643.0,1044329894.0,664317749.0,,-15284722.0,608735744.0,yfinance
