period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.81,,,yfinance
2024-12-31,5968736339.0,297570210.0,1528165859.0,527568373.0,1000597486.0,,9867695.0,265463669.0,yfinance
2025-03-31,6802910589.0,299615119.0,1176834132.0,531120663.0,645713469.0,0.32,3993417.0,142612661.0,yfinance
2025-06-30,7362177408.0,481476061.0,1862885101.0,951697683.0,911187418.0,0.51,27644253.0,360166309.0,yfinance
2025-09-30,7971607240.0,490621220.0,1941619692.0,993413060.0,948206632.0,0.18,42508160.0,374536475.0,yfinance
2025-12-31,7847750985.0,638255715.0,1899545242.0,1045751250.0,853793992.0,,37386406.0,325461867.0,yfinance
