period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,3152113194.0,1351814729.0,900037075.0,920558960.0,-20521885.0,0.47,149788174.0,13459412.0,yfinance
2024-12-31,6565368712.0,3563598765.0,3342649051.0,2634002090.0,708646961.0,,1242701403.0,12591922.0,yfinance
2025-03-31,6342235422.0,2813003260.0,3347095153.0,3022506656.0,324588497.0,0.978648,92288028.0,22626521.0,yfinance
2025-06-30,6994934044.0,3004064377.0,3515389755.0,3453421452.0,61968303.0,1.05,74389258.0,22536762.0,yfinance
2025-09-30,5258497718.0,1967426788.0,2603600482.0,2368190387.0,235410095.0,0.69,74607508.0,22416821.0,yfinance
2025-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
