period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.2,,,yfinance
2024-12-31,935000000.0,31000000.0,88100000.0,29600000.0,58500000.0,,-117700000.0,-80500000.0,yfinance
2025-03-31,847600000.0,25100000.0,91800000.0,42800000.0,49000000.0,0.23,5900000.0,22600000.0,yfinance
2025-06-30,1108300000.0,57600000.0,110800000.0,74700000.0,36100000.0,0.52,5400000.0,24100000.0,yfinance
2025-09-30,1472400000.0,50600000.0,134500000.0,76200000.0,58300000.0,0.46,6500000.0,25800000.0,yfinance
2025-12-31,1621500000.0,61500000.0,124400000.0,62200000.0,62200000.0,,14800000.0,19300000.0,yfinance
