period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,1.03,,,yfinance
2024-12-31,6339697971.0,1272710411.0,2317244574.0,1582959233.0,734285341.0,,,357911654.0,yfinance
2025-03-31,6441464655.0,2044759027.0,2619989853.0,2438498881.0,181490972.0,1.81,,409243931.0,yfinance
2025-06-30,5088304049.0,1112530724.0,1686284779.0,1523317706.0,162967073.0,0.98,,503199030.0,yfinance
2025-09-30,5712463321.0,926113824.0,1244413636.0,986454653.0,257958983.0,0.82,,377086820.0,yfinance
2025-12-31,7702826648.0,1466267820.0,2341155124.0,2119957939.0,221197185.0,,,544831527.0,yfinance
