period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.25,,,yfinance
2024-12-31,7087048239.0,329350455.0,533269201.0,176362143.0,356907058.0,,61240240.0,137828636.0,yfinance
2025-03-31,6397840009.0,513255999.0,785864774.0,504504668.0,281360106.0,2.65,54446300.0,133364909.0,yfinance
2025-06-30,6167512621.0,530635737.0,724454683.0,465862331.0,258592352.0,0.15,40536093.0,139629577.0,yfinance
2025-09-30,6896910432.0,614280079.0,824935951.0,463589176.0,361346775.0,0.26,56838383.0,133695138.0,yfinance
2025-12-31,7160534937.0,531171743.0,1015007209.0,487077734.0,527929475.0,,101495628.0,128837183.0,yfinance
