period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,7007127478.0,648905265.0,2173110327.0,1115491685.0,1057618642.0,0.23,155945800.0,512947175.0,yfinance
2024-12-31,9149637338.0,902334260.0,2939319684.0,1621409389.0,1317910295.0,,156698884.0,73494583.0,yfinance
2025-03-31,8369766433.0,1539660235.0,3751237835.0,2584703727.0,1166534108.0,0.54,124858512.0,72118208.0,yfinance
2025-06-30,7154816426.0,903720706.0,2913450661.0,1703072664.0,1210377997.0,0.314,126261915.0,714849261.0,yfinance
2025-09-30,9915328218.0,1098726667.0,3759220404.0,2127881297.0,1631339107.0,0.384,176643709.0,1029229368.0,yfinance
2025-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
