period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.106542,,,yfinance
2024-12-31,12847136496.0,578264230.0,2610476545.0,834203472.0,1776273073.0,,,442251007.0,yfinance
2025-03-31,12881656826.0,370221744.0,2687859725.0,971881501.0,1715978224.0,0.08653,,483791071.0,yfinance
2025-06-30,14896021067.0,521822187.0,3316358196.0,1463480339.0,1852877857.0,0.121963,,620162723.0,yfinance
2025-09-30,17724463370.0,740075341.0,3626786114.0,1680114422.0,1946671692.0,0.172974,,630020658.0,yfinance
2025-12-31,18327279432.0,956238121.0,4059668618.0,2126690286.0,1932978332.0,,,635195489.0,yfinance
