period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.058476,,,yfinance
2024-12-31,984319856.0,152843698.0,468147414.0,278480840.0,189666574.0,,14710988.0,104387678.0,yfinance
2025-03-31,865616572.0,82243054.0,402661131.0,234841415.0,167819716.0,0.041401,11693130.0,130758039.0,yfinance
2025-06-30,963331727.0,88444770.0,470034388.0,257130056.0,212904332.0,0.056813,5153468.0,132944000.0,yfinance
2025-09-30,1134753573.0,97603478.0,516455791.0,263388065.0,253067726.0,0.048805,1038421.0,137056972.0,yfinance
2025-12-31,1132310874.0,30173397.0,592391844.0,289711325.0,302680519.0,,920813.0,130511802.0,yfinance
