period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,0.632,,,yfinance
2024-12-31,4134252483.0,650801297.0,1020091032.0,797542041.0,222548991.0,,100761775.0,85431840.0,yfinance
2025-03-31,3611578352.0,586715230.0,796382352.0,536884963.0,259497389.0,0.456,107218590.0,100280939.0,yfinance
2025-06-30,3939759236.0,440684905.0,702798262.0,569097821.0,133700441.0,0.352,137119552.0,103876445.0,yfinance
2025-09-30,3360222102.0,475803847.0,525077858.0,285863794.0,239214064.0,0.376,120068130.0,84756210.0,yfinance
2025-12-31,3501027324.0,-364811982.0,62693441.0,-144146933.0,206840374.0,,99093150.0,85910016.0,yfinance
