period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,1.93,,,yfinance
2024-12-31,67159794978.0,4209179783.0,10840826521.0,6953864074.0,3886962447.0,,-327103429.0,2511954553.0,yfinance
2025-03-31,59391529636.0,4146412114.0,9973736303.0,6832646597.0,3141089706.0,1.73,305293021.0,1745582077.0,yfinance
2025-06-30,64409021437.0,4548199711.0,10271663835.0,6206363365.0,4065300470.0,1.82,315319490.0,1311595872.0,yfinance
2025-09-30,75907117252.0,3978974638.0,9752189388.0,7124320395.0,2627868993.0,1.58,263857467.0,1260808566.0,yfinance
2025-12-31,81341413394.0,4656658527.0,10764518661.0,5389847137.0,5374671524.0,,240399308.0,1540455511.0,yfinance
