period_end_date,revenue,net_income,gross_profit,operating_income,operating_expenses,eps_basic,interest_income,interest_expense,data_source
2022-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,1.26,,,yfinance
2024-12-31,14712224058.0,4374053032.0,4922966073.0,2706732126.0,2216233947.0,,449645785.0,408683441.0,yfinance
2025-03-31,9426567205.0,3693603495.0,3621531624.0,2468656391.0,1152875233.0,1.61,506609431.0,209449368.0,yfinance
2025-06-30,14965349009.0,2711829082.0,4985250838.0,4086306770.0,898944068.0,1.21,493650975.0,198247552.0,yfinance
2025-09-30,13924659023.0,4066210092.0,4483934789.0,3369453559.0,1114481230.0,2.26,657866992.0,466727815.0,yfinance
2025-12-31,24178568960.0,3912247638.0,7764683133.0,7373624493.0,391058640.0,,2507226417.0,2915442666.0,yfinance
