period_end_date,pe_ratio,pb_ratio,eps,net_margin,roe,roa,debt_to_equity,current_ratio,gross_margin,operating_margin,dividend_yield,market_cap,car_ratio,data_source
2022-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-12-31,,2.3109,,0.454,0.096,0.0085,10.33,,,,,,,yfinance
2025-03-31,5.7254,2.3694,1.87674,0.5582,0.1213,0.0107,10.36,,,,,,,yfinance
2025-06-30,2.0156,1.1312,2.865186,0.5522,0.1135,0.0107,9.59,,,,,,,yfinance
2025-09-30,2.6718,0.9452,2.011726,0.5393,0.1023,0.0098,9.39,,,,,,,yfinance
2025-12-31,3.368,1.1895,,0.5206,0.0911,0.0091,9.01,,,,,52209426432,,yfinance
