period_end_date,pe_ratio,pb_ratio,eps,net_margin,roe,roa,debt_to_equity,current_ratio,gross_margin,operating_margin,dividend_yield,market_cap,car_ratio,data_source
2022-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,4.81,2.2947,0.36,0.052,0.1185,0.0444,1.67,1.3723,,,,,,yfinance
2024-12-31,,1.8123,,0.0158,0.0331,0.0191,0.73,1.9129,,,,,,yfinance
2025-03-31,,1.7825,,0.0444,0.0907,0.0498,0.82,1.8234,,,,,,yfinance
2025-06-30,,1.5053,,0.0464,0.0796,0.0418,0.9,1.7616,,,,,,yfinance
2025-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
