period_end_date,pe_ratio,pb_ratio,eps,net_margin,roe,roa,debt_to_equity,current_ratio,gross_margin,operating_margin,dividend_yield,market_cap,car_ratio,data_source
2022-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,2.6281,1.0035,1.498808,0.5692,0.0955,0.0162,4.89,,,,,,,yfinance
2024-12-31,,0.8381,,0.5534,0.0906,0.0153,4.92,,,,,,,yfinance
2025-03-31,2.8239,1.142,1.494667,0.548,0.1011,0.0147,5.88,,,,,,,yfinance
2025-06-30,2.8815,0.9672,1.348846,0.5253,0.0839,0.0125,5.72,,,,,,,yfinance
2025-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-12-31,4.08871,1.0495,,0.5384,0.0768,0.0124,5.17,,,,,25350000640,,yfinance
