period_end_date,pe_ratio,pb_ratio,eps,net_margin,roe,roa,debt_to_equity,current_ratio,gross_margin,operating_margin,dividend_yield,market_cap,car_ratio,data_source
2022-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-12-31,,9.3086,,0.2165,0.0559,0.0422,0.32,3.6669,,,,,,yfinance
2025-03-31,28.4848,8.6658,0.146667,0.372,0.0901,0.0621,0.45,2.6411,,,,,,yfinance
2025-06-30,21.1234,5.9855,0.15,0.3079,0.0676,0.0521,0.3,3.9291,,,,,,yfinance
2025-09-30,19.8031,5.5502,0.16,0.4214,0.0924,0.07,0.32,3.6643,,,,,,yfinance
2025-12-31,38.10606,7.2982,,0.3186,0.0655,0.0484,0.36,3.3777,,,,87186669568,,yfinance
