period_end_date,pe_ratio,pb_ratio,eps,net_margin,roe,roa,debt_to_equity,current_ratio,gross_margin,operating_margin,dividend_yield,market_cap,car_ratio,data_source
2022-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,2.6581,2.2755,10.272025,0.3734,0.2138,0.1604,0.33,3.5402,,,,,,yfinance
2024-12-31,,2.3258,,0.3069,0.1598,0.1173,0.36,3.22,,,,,,yfinance
2025-03-31,,3.1108,,0.2406,0.115,0.0902,0.28,3.9997,,,,,,yfinance
2025-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2025-09-30,6.2043,2.8799,5.856304,0.2133,0.116,0.0741,0.57,2.3743,,,,,,yfinance
2025-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
