period_end_date,pe_ratio,pb_ratio,eps,net_margin,roe,roa,debt_to_equity,current_ratio,gross_margin,operating_margin,dividend_yield,market_cap,car_ratio,data_source
2022-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2022-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-09-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2023-12-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-03-31,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-06-30,,,,,,,,,,,,,,MANUAL_ENTRY_REQUIRED
2024-09-30,14.9551,,0.140253,,,,,,,,,,,yfinance
2024-12-31,,5.6413,,0.3003,0.0969,0.0377,1.57,1.3191,,,,,,yfinance
2025-03-31,13.3333,5.9263,0.18,0.3373,0.1097,0.0298,2.68,1.1609,,,,,,yfinance
2025-06-30,15.7495,6.5804,0.191276,0.3306,0.1045,0.0415,1.52,1.2828,,,,,,yfinance
2025-09-30,15.5316,6.775,0.228567,0.3394,0.1091,0.0423,1.58,1.335,,,,,,yfinance
2025-12-31,9.216216,6.8033,,0.3293,0.1058,0.04,1.64,1.3477,,,,23232487424,,yfinance
